id,name,cat
3646,Bulk Item 1,""
1768,Светильник светодиодный,Оборудование
1769,Светильник светодиодный,Оборудование
1770,Светильник светодиодный,Оборудование
1771,Светильник светодиодный,Оборудование
1772,Светильник светодиодный,Оборудование
1773,Светильник светодиодный,Оборудование
1774,Светильник светодиодный,Оборудование
1775,Светильник светодиодный,Оборудование
1776,Пресс гидравлический,Оборудование
3647,Bulk Item 2,""
1785,"Портативный газоанализатор ТОП-СЕНС 310 (CH4(_НКПР),O2,CO,H2S) с поверкой",Измерительные приборы
3654,Тестовый прибор,_test_eq_cat_
1960,Топ-сенс310,Измерительные приборы
1961,Топ-сенс310,Измерительные приборы
1962,Топ-сенс310,Измерительные приборы
1963,Топ-сенс310,Измерительные приборы
1996,Сплит система,Оборудование
2087,З/У для шуруповерта DB-201,Инструмент
2088,З/У для шуруповерта DB-201,Инструмент
2089,З/У для шуруповерта DB-201,Инструмент
2090,З/У для шуруповерта DB-201,Инструмент
2091,З/У для шуруповерта DB-201,Инструмент
2092,Аккумулятор для шуруповерта DB-201,Инструмент
1808,Бесщеточная дрель-шуруповерт ЗУБР Профессионал DB-201,Инструмент
1793,"Связь лесов хомут. д=48 L= 5,3 м.",Оборудование
1809,"Углошлифовальная машина ЗУБР Профессионал 125 мм, 1500 вт УШМ-П125",Инструмент
2093,Аккумулятор для шуруповерта DB-201,Инструмент
2094,Аккумулятор для шуруповерта DB-201,Инструмент
2095,Аккумулятор для шуруповерта DB-201,Инструмент
2096,Аккумулятор для шуруповерта DB-201,Инструмент
2097,Аккумулятор для шуруповерта DB-201,Инструмент
2098,Аккумулятор для шуруповерта DB-201,Инструмент
2099,Аккумулятор для шуруповерта DB-201,Инструмент
3657,WAREHOUSE Button Test Equipment,""
2100,Рация P1,Спецодежда и СИЗ
2101,Рация P1,Спецодежда и СИЗ
2102,Рация P1,Спецодежда и СИЗ
2103,Рация P1,Спецодежда и СИЗ
2104,Рация P1,Спецодежда и СИЗ
2105,Рация P1,Спецодежда и СИЗ
2106,Рация P1,Спецодежда и СИЗ
2107,Рация P1,Спецодежда и СИЗ
2108,Рация P1,Спецодежда и СИЗ
3658,WH-Tool,_test_eq_cat_
2109,Рация P1,Спецодежда и СИЗ
2112,Шуруповерт Ресанта да-14-2лк,Инструмент
2083,Сварочный инвертор РЕСАНТА САИ 160,Инструмент
2084,тачка двухколёсная,Инструмент
2127,УШМ -п125-1500 пст,Инструмент
2128,УШМ -п125-1500 пст,Инструмент
2129,Дрель-шуруповерт DB-201,Инструмент
2130,Дрель-шуруповерт DB-201,Инструмент
2131,Штангенциркуль,Инструмент
2132,Штангенциркуль,Инструмент
2133,Штангенциркуль,Инструмент
2187,Ламинатор,Оборудование
2188,Роутер,Оборудование
2215,Таль,Техника
2216,Пирометр,Измерительные приборы
2217,Таль,Техника
1843,Кувалда 5000 гр Sturm,Инструмент
1844,Дрель-шуруповерт DEWALT 2.0 Ач DCD771D2,Инструмент
1847,"Комбинированный ключ NEO Tools с трещоткой, 21 мм",Инструмент
1855,Шкаф ПРАКТИК AM 1891,Оборудование
2218,Таль,Техника
2219,Таль,Техника
2318,Набор инструментов,Инструмент
2319,Набор инструментов,Инструмент
2329,Мангуст-2 электро,Инструмент
2330,Сварочный аппарат форсаж 315м,Инструмент
2331,Сварочный аппарат форсаж 315м,Инструмент
2594,ФРВС Фонарь ручной взрывозащищённый светодиодный в комплекте с з/у,Оборудование
1764,Редуктор кислородный,Расходники
1766,Гидравлический удлинитель,Техника
1767,Насосная станция,Техника
1777,Ленточный строп Alpsafe (эластичный двойной с амортизатором) AKN44,Спецодежда и СИЗ
1778,"Привязь VENTO Альфа 5.0, размер 2",Спецодежда и СИЗ
1779,Левые ножницы по металлу KRAFTOOL Alligator 250 мм 2328-L,Инструмент
1780,Аптечка первой помощи ООО АППОМЕД производственная сумка 2905,Оборудование
1781,Угловая шлифовальная машина DCA ASM08-125H,Инструмент
1782,Профессиональные бокорезы Inforce 180 мм,Инструмент
1783,Налобный фонарь Gigant с зумом HL-11,Оборудование
1784,Самоцентрирующийся разматыватель металла Ferrox,Оборудование
1786,Кронштейн крепления к стене 400 мм.,Оборудование
1788,Опора простая,Оборудование
1789,Хомут кованный поворотный ZK48-1,Оборудование
1790,Хомут кованный неповоротный ZK48-1,Оборудование
1791,"Лестница наклонная 2,2 м",Оборудование
1792,"Поперечина 1,8 м",Оборудование
1863,Аккумуляторная дрель-шуруповерт Ресанта ДА-24-2ЛК 75/14/7,Инструмент
1864,Карабин VENTO Стальной Овал с муфтой,Спецодежда и СИЗ
1874,"Аккумуляторная дрель-шуруповерт DCA 12 В, 2 АКБ 2 А*ч, в кейсе ADJZ1202i",Инструмент
1881,Компрессор,Техника
