id,name,cat
1,РВД 500бар 10м 1/8 на 1/8,Шланги и рукава
170,Транспортно роликовая платформа,Техника
172,"Связь лесов хомут. д=48 L= 5,3 м.",Оборудование
327,"Связь горизонтальная 5,2 м. ЛХ (48*2 мм) обжимная",Оборудование
685,Рулетка 5м,Инструмент
2,РВД 1250бар,Шланги и рукава
3,Рвд 1200бар,Шланги и рукава
4,РВД 1100бар,Шланги и рукава
5,Сода+едкий натр 25кг,Химия и расходники
6,Лимонная кислота 25кг,Химия и расходники
7,Сульфаминовая кислота 25кг,Химия и расходники
8,Уротропин 25кг,Химия и расходники
9,Амиак водный 10л,Химия и расходники
10,Уксус 20л,Химия и расходники
11,Пентомаш 20л,Химия и расходники
12,Спецоксайд 20л,Химия и расходники
13,Соляная кислота 20л,Химия и расходники
14,Содиум 25кг,Химия и расходники
15,Плавиковая кислота 30л,Химия и расходники
16,Соляно-плавиковая кислота 20л,Химия и расходники
17,Ортофосфорная кислота 20л,Химия и расходники
18,Нитрит натрия 25кг,Химия и расходники
19,Электроды,Химия и расходники
20,Кабель ВВГ,Электрика
21,HCl,Химия и расходники
22,Труба стальная 108×4,Строительные материалы
23,Электроды ОК 46.00 ∅3мм,Химия и расходники
26,насос садовый,Техника
27,Стойка вертикальная 4 м. (48*2 мм) ЛХ-60,Оборудование
28,СЕАН-П газоанализатор,Измерительные приборы
29,"Насосная установка центробежная, химическая (серый) КМХ 80-50-200",Техника
30,Привязь высота,СИЗ (средства защиты)
31,Подпятник 48 мм.,Оборудование
32,Ресивер рв900/10,Химия и расходники
33,Дрель-шуруповерт аккумуляторная Вихрь ДА-24Л-2К/Б,Инструмент
34,Маска сварщика РЕСАНТА,СИЗ (средства защиты)
35,Фонарь налобный peli 2690 ex,Оборудование
36,Магнит поисковый,Оборудование
37,"Блок контейнер 6*2,4*2,4 ОСБ",Оборудование
38,Зиговочный станок,Оборудование
39,Разметочный циркуль с дугой GRIFF 500мм,Инструмент
40,"Шуруповерт DEWALT DCD785C2, 18В, 1.5Ач, 2АКБ, 1,6 кг",Инструмент
41,Кувалда 5000 гр Sturm,Инструмент
42,Фонарь,Оборудование
43,Насос пластинчато-роторный,Техника
44,"Таль ручная стационарная EURO-LIFT HSC 00011010 Chain Block TB , шестеренная аналог ТВ (5 т, 6 м)",Техника
45,"Головка торцевая ударная глубокая (6-гранная; квадрат с отверстием 1/2""DR; 32 мм)",Инструмент
46,Аккумуляторная дрель-шуруповерт Ресанта ДА-24-2ЛК 75/14/7,Инструмент
47,Лазерный дальномер с угломером RGK DL100G,Измерительные приборы
48,Ламинатор,Оборудование
49,Литой магнитный уровень STAYER HARD-М 250 мм 3488,Инструмент
50,Щиток сварщика Сварог pro b40,СИЗ (средства защиты)
51,Пду3,СИЗ (средства защиты)
52,Анкерная петля,Техника
53,Бесщеточная дрель-шуруповерт ЗУБР Профессионал DB-201,Инструмент
