name,src
BIZ_EQUIP_1773939054170,equipment
BIZ_EQUIP_1773939079321,equipment
Bulk Item 1,equipment
Bulk Item 2,equipment
Gematech мембранный насос,equipment
GPS/ГЛОНАСС маяк Starline M17,equipment
Laser tank 360,equipment
Petzl pixa2,equipment
Tig 315 p ac/dc multiweve pro,equipment
TOLSEN Ключ трещоточный монтажный 19х22 мм,equipment
UNIX полумаска изолирующая,equipment
WAREHOUSE Button Test Equipment,equipment
WH-Tool,equipment
Wifi/usb видеоэндоскоп,equipment
Yartek 700,equipment
аварийный душ,equipment
"Азотная пневмопушка ИСТА, серебристая (ружье), 3л.",equipment
"Азотная пневмопушка ИСТА, черная (ружье), 1л.",equipment
Аккумулятор для шуруповерта DB-201,equipment
"Аккумуляторная батарея ЗУБР Профессионал 20В, Li-Ion, 2Ач",equipment
"Аккумуляторная дрель-шуруповерт DCA 12 В, 2 АКБ 2 А*ч, в кейсе ADJZ1202i",equipment
Аккумуляторная дрель-шуруповерт Ресанта ДА-24-2ЛК 75/14/7,equipment
Аккумуляторная УШМ,equipment
"Анализатор дымовых газов TESTO 330-1 LL (С, CO2.CO.O2) с сенсорами Longlife",equipment
Анализатор качества нефтепродуктов SHATOX SX-300,equipment
Анкерная петля,equipment
"Аппарат водоструйный высокого давления ПРЕУС T3517EX, Q=17 л/мин",equipment
Аптечка первой помощи ООО АППОМЕД производственная сумка 2905,equipment
Архивный шкаф Gigant ШХА G-ШХА-850,equipment
Баллон металлокомпозитный баллон с установленным вентилем ARMOTECH ВМК 6.8-139-300,equipment
Баллон металокампазитный,equipment
"Балон 50л для пневмоимпульсного устройства ИСТА-3-80, без клапана и блока управления",equipment
Бесщеточная дрель-шуруповерт ЗУБР Профессионал DB-201,equipment
Блок водяного охлаждения куллер5.5л,equipment
"Блок контейнер 6*2,4*2,4 ОСБ",equipment
блок ролик одинарный большой с подшипником 46кН,equipment
Блок усиления полиспаст Runva SNB20000,equipment
"Бочка евро 48 л, полиэтилен, синяя, черная крышка, затяжной обруч оцинкованный",equipment
Брошюровщик,equipment
"Бустер (Инфлятор) для взрывной накачки колес, с автоматич пневмоклапаном, 11 л, 7-12 бар",equipment
Быстрозажимная струбцина INFORCE 60*300,equipment
Вальцовочный станок,equipment
вентелятор SHT-30-EX,equipment
"Вентилятор тепловой спиральный CMI HFN-2002N, 2000Вт, 220В",equipment
верёвка высокопрочная страховочная статическая 10mm 50m,equipment
Весы электронные 200г / 0.01,equipment
"ВИК ""поверенный""",equipment
Воздушный поршневой маслянный компрессор АЭРУС 210/24,equipment
Высоконапорный водоструйный аппарат ПРЕУС Есо Е5022А,equipment
